Date,Month,Year,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,Holiday
1,1,2021,5,72.06,442.42,30.49,12.95,0.85,43.19,462,No Holiday
2,1,2021,6,72.06,199.8,52.85,5.18,0.85,16.43,482,No Holiday
3,1,2021,7,72.06,239.04,30.49,10.93,1.4,44.29,263,Holiday
4,1,2021,1,89.55,132.08,30.49,10.42,1.01,49.19,207,No Holiday
5,1,2021,2,54.06,55.54,30.49,9.7,0.64,48.88,149,No Holiday
6,1,2021,3,155.59,180.14,30.49,10.29,1.18,44.47,252,No Holiday
7,1,2021,4,118.39,131.18,30.49,9.81,0.73,48.6,288,No Holiday
8,1,2021,5,140.05,184.29,30.49,10.34,0.79,43.06,248,No Holiday
9,1,2021,6,144.01,192.43,30.49,10.41,0.85,42.23,326,No Holiday
10,1,2021,7,131.57,180.38,30.49,9.92,0.69,51.96,284,Holiday
11,1,2021,1,135.92,208.99,30.49,10.49,0.75,55.06,281,No Holiday
12,1,2021,2,172.48,220.74,30.49,10.21,0.91,41.69,329,No Holiday
13,1,2021,3,72.06,330.04,30.49,7.27,1.22,31.49,378,No Holiday
14,1,2021,4,72.06,417.42,30.49,8.49,0.85,32.11,422,No Holiday
15,1,2021,5,72.06,517.76,30.49,10.11,0.85,25.81,456,No Holiday
16,1,2021,6,72.06,230.76,30.49,7.39,1.65,27.53,388,No Holiday
17,1,2021,7,72.06,249.23,30.49,9.56,1.4,36.8,342,Holiday
18,1,2021,1,72.06,318.1,30.49,14.92,1.32,28.17,401,No Holiday
19,1,2021,2,72.06,299.28,30.49,12.98,1.69,23.02,400,No Holiday
20,1,2021,3,159.91,193.78,30.49,7.45,0.88,31.96,322,No Holiday
21,1,2021,4,182.39,243.84,30.49,5.6,1.5,33.7,328,No Holiday
22,1,2021,5,72.06,358.0,30.49,4.4,0.85,26.88,412,No Holiday
23,1,2021,6,170.36,213.65,30.49,4.06,0.75,34.18,362,No Holiday
24,1,2021,7,72.06,287.86,30.49,3.05,0.81,27.77,370,Holiday
25,1,2021,1,72.06,311.67,17.33,6.28,1.25,25.82,345,No Holiday
26,1,2021,2,72.06,344.53,21.93,9.03,1.34,26.24,369,Holiday
27,1,2021,3,72.06,397.43,34.5,7.94,1.23,24.33,371,No Holiday
28,1,2021,4,72.06,496.55,40.31,9.89,0.85,26.13,373,No Holiday
29,1,2021,5,72.06,396.57,30.49,4.94,0.85,21.55,440,No Holiday
30,1,2021,6,72.06,306.17,30.49,4.76,1.46,30.8,363,No Holiday
31,1,2021,7,72.06,323.33,30.49,4.43,0.85,26.95,368,Holiday
1,2,2021,1,72.06,398.91,30.49,4.76,0.85,30.4,400,No Holiday
2,2,2021,2,72.06,416.62,30.49,6.06,0.85,24.16,408,No Holiday
3,2,2021,3,72.06,299.0,30.49,3.83,0.85,28.02,367,No Holiday
4,2,2021,4,134.66,170.25,30.49,3.13,1.04,36.53,352,No Holiday
5,2,2021,5,68.49,116.65,30.49,3.82,0.72,30.54,142,No Holiday
6,2,2021,6,131.68,182.92,30.49,5.08,0.85,34.79,261,No Holiday
7,2,2021,7,180.68,241.07,30.49,5.47,1.18,34.4,279,Holiday
8,2,2021,1,72.06,369.18,30.49,4.32,1.73,30.28,375,No Holiday
9,2,2021,2,72.06,332.06,30.49,4.89,0.85,27.91,385,No Holiday
10,2,2021,3,72.06,373.71,30.49,5.43,0.85,27.67,359,No Holiday
11,2,2021,4,72.06,317.99,30.49,4.6,1.72,24.75,370,No Holiday
12,2,2021,5,72.06,352.71,30.49,3.8,0.85,30.18,310,No Holiday
13,2,2021,6,165.42,213.89,30.49,4.35,0.85,21.25,319,No Holiday
14,2,2021,7,72.06,286.26,30.49,4.7,0.85,28.86,371,Holiday
15,2,2021,1,174.53,292.2,30.49,3.85,0.85,18.42,335,No Holiday
16,2,2021,2,182.05,278.41,30.49,3.87,0.85,25.66,344,No Holiday
17,2,2021,3,72.06,333.83,30.49,4.54,0.85,23.61,367,No Holiday
18,2,2021,4,167.49,249.49,30.49,4.55,1.7,24.92,335,No Holiday
19,2,2021,5,72.06,276.56,30.49,4.89,0.85,17.37,340,No Holiday
20,2,2021,6,127.6,208.49,30.49,4.04,0.85,21.84,293,No Holiday
21,2,2021,7,72.06,300.97,30.49,3.43,0.85,36.61,356,Holiday
22,2,2021,1,72.06,334.88,30.49,3.83,0.85,34.37,352,No Holiday
23,2,2021,2,72.06,367.24,30.49,6.75,0.85,29.32,339,No Holiday
24,2,2021,3,72.06,420.65,30.49,6.47,0.85,27.42,350,No Holiday
25,2,2021,4,72.06,352.73,30.49,4.2,0.85,27.52,337,No Holiday
26,2,2021,5,164.34,297.78,30.49,3.68,0.85,23.51,295,No Holiday
27,2,2021,6,81.79,268.51,36.22,3.64,1.16,33.52,225,No Holiday
28,2,2021,7,98.08,239.96,35.06,5.51,0.75,50.07,235,Holiday
1,3,2021,1,97.62,247.38,32.72,5.71,0.72,43.21,187,No Holiday
2,3,2021,2,100.87,272.73,27.87,8.86,0.53,58.17,227,No Holiday
3,3,2021,3,131.63,264.11,36.28,10.91,1.0,37.3,259,No Holiday
4,3,2021,4,157.94,343.04,40.72,7.16,0.85,41.65,276,No Holiday
5,3,2021,5,139.43,309.98,34.06,4.88,1.05,43.07,290,No Holiday
6,3,2021,6,121.86,257.23,32.67,6.38,0.87,42.58,257,No Holiday
7,3,2021,7,154.41,300.45,38.21,7.92,0.85,50.3,270,Holiday
8,3,2021,1,110.05,233.19,43.89,4.32,1.46,42.61,227,No Holiday
9,3,2021,2,157.38,323.11,38.29,3.27,1.52,32.2,297,No Holiday
10,3,2021,3,91.85,192.7,39.4,3.58,0.74,26.03,205,No Holiday
11,3,2021,4,121.57,233.44,56.27,4.22,1.7,31.05,262,Holiday
12,3,2021,5,85.57,207.14,50.96,4.43,1.16,25.73,203,No Holiday
13,3,2021,6,138.97,245.6,42.87,4.24,1.23,26.71,236,No Holiday
14,3,2021,7,132.36,253.72,39.84,4.11,0.74,30.27,251,Holiday
15,3,2021,1,126.93,265.71,40.58,3.79,0.86,28.14,219,No Holiday
16,3,2021,2,146.41,391.08,39.3,3.5,0.86,20.61,277,No Holiday
17,3,2021,3,138.5,358.46,40.96,4.95,0.78,20.82,352,No Holiday
18,3,2021,4,152.31,380.31,41.81,4.93,1.03,20.78,313,No Holiday
19,3,2021,5,114.38,311.33,42.18,4.77,0.76,27.42,298,No Holiday
20,3,2021,6,145.03,284.59,54.15,5.57,1.04,17.7,264,No Holiday
21,3,2021,7,72.06,404.45,16.67,17.52,0.92,24.98,316,Holiday
22,3,2021,1,85.87,328.0,13.09,8.61,0.73,18.14,283,No Holiday
23,3,2021,2,75.4,281.04,30.49,6.32,0.85,17.33,232,No Holiday
